Movie,Years,Duration,Genre,Rating,,Actor_1,Actor_2,Actor_3,Actor_4
Adipurush,2022,,"Action, Drama, History",,,Om Raut,Prabhas,Saif Ali Khan,Kriti Sanon
Animal,2022,,"Action, Drama",,,Sandeep Reddy Vanga,Ranbir Kapoor,Parineeti Chopra,Anil Kapoor
Baba Teerthnath,2022,,"Comedy, Drama",,,Kunjan Verma,Hanan Baba,Prerna Rawat,Dhruv Lau
Bachchan Pandey,2022,,Action,,,Farhad Samji,Akshay Kumar,Jacqueline Fernandez,Kriti Sanon
Backwaters,2022,,"Drama, Thriller",,,Abhinav Thakur,,,
Battle of Saraighat,2022,,History,,,Sudipto Sen,,,
Bhediya,2022,,"Comedy, Horror",,,Amar Kaushik,Kriti Sanon,Varun Dhawan,Abhishek Banerjee
Chaalbaaz in London,2022,,Comedy,,,Pankaj Parashar,Shraddha Kapoor,,
Cirkus,2022,112 min,Comedy,,,Rohit Shetty,Jacqueline Fernandez,Pooja Hegde,Ranveer Singh
Ek Villain Returns,2022,,"Action, Thriller",,,Mohit Suri,Disha Patani,John Abraham,Arjun Kapoor
Fighter,2022,,"Action, Thriller",,,Siddharth Anand,Deepika Padukone,Hrithik Roshan,Birol Tarkan Yildiz
Fighter,2022,,"Action, Drama, Thriller",,,Gayatri,Pushkar,Hrithik Roshan,
Ganapath,2022,,Action,,,Vikas Bahl,Kriti Sanon,Tiger Shroff,
Gandabherunda - A Surfing Entertainer,2022,,Sport,,,Inam,Inam,Sanjana Prakash,
Ghubar,2022,,"Crime, Mystery",,,Swaminathan Sridhar,Vijay Kumar,Vivek Pandey,Jitendra Rana
Goodbye,2022,,"Comedy, Drama",,,Vikas Bahl,Amitabh Bachchan,Rashmika Mandanna,Neena Gupta
Guthlee,2022,,Drama,,,Ishrat R. Khan,Sanjay Mishra,Subrat Dutta,Kalyanee Mulay
Hari Singh Nalwa - Champion of the Khalsa Ji,2022,,Biography,,,Prabhleen Sandhu,,,
Iftikhar,2022,,Drama,,,,,,
Jaar,2022,,Drama,,,Phurba Tshering Lama,Geetanjali Thapa,Saugat Malla,Anoop Bikram Shahi
Kala Pila,2022,,Drama,,,Limosh Pawar,,,
Mayday,2022,141 min,"Drama, Thriller",,,Ajay Devgn,Amitabh Bachchan,Rakul Preet Singh,Ajay Devgn
Middle Class Crime,2022,,Comedy,,,Jyoti Kapur Das,Nikita Dutta,Sunny Singh Nijjar,
Mom's Coming,2022,,"Horror, Musical, Thriller",,,Rishiking,Zoya Afroz,Sahil Mishra,Byom
Our Love Story,2022,,Romance,,,Kunal Kohli,Vardhan Puri,Kaveri Kapur,
Ponniyin Selvan,2022,,"Drama, Family, Fantasy",,,Mani Ratnam,Aishwarya Rai Bachchan,Amitabh Bachchan,Aditi Rao Hydari
Salaar,2022,,Action,,,Prashanth Neel,Prabhas,Shruti Haasan,Mostafiz Mortoza
State vs Justice,2022,120 min,"Biography, Crime, Drama",,,Jaimin Bal,,,
Tara vs Bilal,2022,,Romance,,,Samar Iqbal,Harshvardhan Rane,Angira Dhar,
The Intern,2022,,"Comedy, Drama, Thriller",,,Deepika Padukone,Amitabh Bachchan,,
The Son of Marwad,2022,,"Comedy, Drama, Romance",,,Govind Lugriya,Rk Prajapati,Aryan Maheshwari,
Timir,2022,100 min,"Horror, Mystery, Thriller",,,Atul Kumar Dubey,Anurag Sinha,Vaibhavi Upadhyay,Nidhi Bisht
Tsunami,2022,,"Drama, Thriller",,,Madhu Sudhanan,,,
Untitled Luv Ranjan Film,2022,,Comedy,,,Luv Ranjan,Ranbir Kapoor,Shraddha Kapoor,Boney Kapoor
Varchasva,2022,,Action,,,Manish Singh,,,
Vo Ladki,2022,,"Drama, Romance",,,Praween Kumar Pandey,Dharmendra Ahirwar,Sanit Swami,
World Bhangra League,2022,,Drama,,,Parvinder Singh Wraich,Harkiran Kaur Wraich,Vinamarjot Singh Wraich,
Yudhra,2022,,Action,,,Ravi Udyawar,Malavika Mohanan,Siddhant Chaturvedi,Raghav Juyal
#Homecoming,2021,90 min,"Drama, Musical",,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
12 Bulbule,2021,,"Comedy, Drama, Family",,,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
12 O'Clock,2021,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
124a,2021,,Documentary,,,Varrun Sukhraj,,,
14 Phere,2021,,Comedy,,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
8119 Miles,2021,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,2021,150 min,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
A Cold Plan,2021,,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
