Movie,Years,Duration,Genre,Rating,Unnamed: 5,Actor_1,Actor_2,Actor_3,Actor_4
Cirkus,2022,112 min,Comedy,5.4,,Rohit Shetty,Jacqueline Fernandez,Pooja Hegde,Ranveer Singh
Mayday,2022,141 min,"Drama, Thriller",8.8,,Ajay Devgn,Amitabh Bachchan,Rakul Preet Singh,Ajay Devgn
State vs Justice,2022,120 min,"Biography, Crime, Drama",5.7,,Jaimin Bal,,,
Timir,2022,100 min,"Horror, Mystery, Thriller",7.7,,Atul Kumar Dubey,Anurag Sinha,Vaibhavi Upadhyay,Nidhi Bisht
#Homecoming,2021,90 min,"Drama, Musical",1.2,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
12 O'Clock,2021,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
8119 Miles,2021,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,2021,150 min,"Biography, Drama, History",8.5,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
Aa Bhi Ja O Piya,2021,140 min,"Family, Romance",1.3,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aavartan,2021,116 min,Musical,4.6,,Durba Sahay,Sushma Seth,Shovana Narayan,Sunit Razdan
Aham Brahmasmi,2021,106 min,Action,6.5,,Megastar Maharishi Aazaad,,,
Ajeeb Daastaans,2021,142 min,"Drama, Romance",6.7,"4,133",Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta
Alpha Beta Gamma,2021,124 min,"Comedy, Drama",5.2,,Shankar Sri Kumar,Amit Kumar Vashisth,Reena Aggarwal,Nishan
Ammaa Ki Boli,2021,117 min,"Comedy, Drama",8.1,871,Narayan Chauhan,Sanjay Mishra,Hrishitaa Bhatt,Master Aniket
Antenna,2021,84 min,Drama,7.1,7,Shoib Nikash Shah,Imran Khan,Imran Khan,Azmat Khwaja
Anubhuti,2021,110 min,Drama,3.3,,Anirban Dutta,Aritraa Sengupta,Shamila Bhattacharya,Rittick Bhattacharya
Asthi the Ashes,2021,110 min,Biography,7.4,,Dinkar Rao,Antara Rao,,
B.A. Pass 3,2021,136 min,"Drama, Romance",8.3,"1,877",Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
Baikunth,2021,72 min,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
Bansuri: The Flute,2021,108 min,Drama,3.7,7,Hari Viswanath,Anurag Kashyap,Rituparna Sengupta,Upendra Limaye
Barah by Barah,2021,118 min,Drama,7.6,,Gaurav Madan,Aashit Chatterjee,Bhumika Dube,Geetika Vidya Ohlyan
Bellbottom,2021,130 min,"Action, Thriller",4.7,,Ranjit Tewari,Huma Qureshi,Akshay Kumar,Vaani Kapoor
Bhasadbaaz,2021,60 min,"Comedy, Drama",1.6,,Abhishek Prasad,Sheeba Chaddha,Vineet Kumar,Anil Charanjeett
Black Market,2021,131 min,Action,7.9,,Arjun Raaj,Attin Bhalla,Milind Gunaji,Mohan Joshi
Bolo Hau,2021,94 min,"Comedy, Romance",7.3,,Tarun Dhanrajgir,Jahnavi Dhanrajgir,Adnan Sajid Khan,Preeti Nigam
Boxed,2021,115 min,Adventure,6.4,10,Mohd Feroz Qureshi,Mantosh Kumar,Jahina Mulla Qureshi,Mohd Feroz Qureshi
Cheer Haran,2021,98 min,Documentary,9.1,123,Kuldeep Ruhil,Kuldeep Ruhil,,
Come on Yaar,2021,122 min,Drama,8.9,,Rajeshwar Pandey Raaj,Tanzeem Alam,Amlesh Jaiswal,Manoj Jaiswal
Consequence Karma,2021,92 min,"Drama, Thriller",9,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta
D Company,2021,91 min,"Action, Crime, Thriller",4.4,218,Ram Gopal Varma,Sandeep Bose,Abhilash Chaudhary,Pranay Dixit
Dancing Daughters,2021,90 min,Documentary,1.0,,Dinkar Rao,,,
Deep Inside,2021,101 min,Thriller,7.1,,Bharath Bhushan Nethi,Anjum Rajabali,Kapil Chaudhary,Pavan Aryaveer Rajput
Desert Tears,2021,98 min,Drama,1.7,,Himanshu Gulati,Anangsha Biswas,Megha Chakraborty,Anil Charanjeett
Destination Zindagi,2021,78 min,Drama,1.1,,Saptarishi Pratim,Tirrtha Murbaadkar,Rammnik Singh,Harish Kulkarni
Dihadi,2021,87 min,Drama,2.6,,Nidhi Patel,Pooja Patel,Vaibhav Bhatt,Bhagvad Nayak
Dwimukha,2021,122 min,"Comedy, Drama, Mystery",2.4,,Madhu Shrikaar,Praveen Atharva,Vijay Chandra,Vijay Chendoor
Ek Dopahar (An Afternoon),2021,90 min,Drama,6.6,,Leena Malhotra,Dinkar Rao,Sheel Kalia,Antara Rao
Everything Is Cinema,2021,70 min,Drama,5.1,,Don Palathara,Sherin Catherine,Don Palathara,
Evil Dead is Back,2021,120 min,Horror,7.2,,Tariq Bhat,Sultan Ansari,Ajay Bafna,Nataliya Kozhenova
Fauji Calling,2021,134 min,Drama,5.4,77,Aaryaan Saxena,Bidita Bag,Anil Chouhan,Mugdha Godse
Fire in the Mountains,2021,84 min,Drama,6.8,26,Ajitpal Singh,Vinamrata Rai,Chandan Bisht,Harshita Tiwari
Fiza Mein Tapish,2021,125 min,Drama,4.8,,Rahat Khan,Salman Shaikh,Richa Kalra,Mithilesh Chaturvedi
Flight,2021,116 min,"Action, Thriller",8.3,359,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
Gadera,2021,125 min,"Drama, History, Thriller",8.2,,Yogesh Vats,Edward Christle,Andrew Johnson,Catarina Morais
Gaurav Gupta: Market Down Hai,2021,50 min,Comedy,7.5,226,Neville Shah,Gaurav Gupta,,
Ghar Pe Bataao,2021,72 min,Drama,7.6,43,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,
Gokula Krishna,2021,90 min,Animation,8.1,,Murugan V.,,,
Green,2021,115 min,Drama,4.3,,Prashant Nagenrda,Paridhi Sharma,Divyangana Jain,Sanjay Singh
Guest Unwanted,2021,137 min,"Crime, Thriller",1.6,,Parvinder Singh Wraich,Harkiran Kaur Wraich,Happy BanMajra,Baljeet Madwara
Gutter Boy,2021,58 min,Drama,8.8,,Anupam Khanna Baswal,Laxmi Kant Baswala,Ajeet Kumar,Ankit Mahna
Haathi Mere Saathi,2021,126 min,Drama,9.8,,Prabu Solomon,Rana Daggubati,Zoya Hussain,Pulkit Samrat
Half Dracula,2021,100 min,Mystery,5.2,,Vickram,Amit Kumar Vashisth,Toofan Verma,
Half Songs,2021,79 min,"Music, Romance",9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani
Haseen Dillruba,2021,135 min,"Crime, Drama, Mystery",4.8,,Vinil Mathew,Taapsee Pannu,Vikrant Massey,Harshvardhan Rane
Hello Charlie,2021,102 min,Comedy,5.6,"3,167",Pankaj Saraswat,Aadar Jain,Jackie Shroff,Shloka Pandit
Hum Hum Hain,2021,113 min,Drama,9.6,,Bijendra Singh,Nakul Gill,Pentali Sen,Sandeep Yadav
I Am Draupadi,2021,110 min,Drama,1.2,,Pawan k Shrivastava,Bidita Bag,Mayur More,Rajit Kapoor
"Indradhanush, the Grey Shades of Love",2021,90 min,Mystery,8.8,5,Nalin Singh,Talia Bentson,Sommansh Sachdevva,
Jamun,2021,92 min,"Drama, Family",7.5,409,Gaurav Mehra,Raghuvir Yadav,Shweta Basu Prasad,Sunny Hinduja
Joy,2021,91 min,Drama,3.2,,Varun Singh Rajput,Varun Singh Rajput,Ipsit Nayak,Ali Satunwala
June,2021,93 min,Drama,9.4,18,Suhrud Godbole,Vaibhav Khisti,Nilesh Divekar,Jitendra Joshi
Junglemahal,2021,143 min,Horror,3.4,,Arunava Chowdhury,Aditya Baliyan,Suraiya Parvin,Prashant Shinde
Kaadan,2021,170 min,"Action, Drama, Fantasy",9.1,"2,219",Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan
Kaagaz,2021,109 min,"Biography, Comedy, Drama",7.6,"6,738",Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik
Kabaad- The Coin,2021,132 min,Drama,6.6,76,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj
Karma,2021,105 min,"Drama, Romance",3.1,,Kartik Swaminathan Venkatraman,Johnny Serret,Sagar Sharma,Puja S
Koi Jaane Na,2021,141 min,Thriller,3.5,514,Amin Hajee,Kunal Kapoor,Amyra Dastur,Elli Avrram
L.A.C.,2021,90 min,Action,3.2,,Nitin Gupta,Rahul Roy,Nitin Gupta,Nishant Malkani
